Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00097602,-0.00079334,-0.045696,0,0,0,16.042,0.10987,-0.0036184,-3.3898E-07,0.10984,-1.8961E-06,0.11597,0,0,0,0,0,0,package://flying_robot_urdf/meshes/base_link.STL,0,0.78039,0.59216,1,0,0,0,0,0,0,package://flying_robot_urdf/meshes/base_link.STL,,CLH52.02.00-1/CLH52.02-01-2;CLH52.02.00-1/CLH52.02-02-1;CLH52.02.00-1/BATTERY8-2;CLH52.02.00-1/BATTERY8-4;CLH52.02.00-1/涡喷组件-1/涡喷SW300B-1;CLH52.02.00-1/转向组件-1/CLH52.02-05-1;CLH52.02.00-1/转向组件-1/CLH52.02-06-1;CLH52.01.00-1/电机组件-1/RR-HA-60-80-Brake-上交版-1;CLH52.01.00-6/电机组件-1/RR-HA-60-80-Brake-上交版-1;CLH52.01.00-2/电机组件-1/RR-HA-60-80-Brake-上交版-1;CLH52.01.00-4/电机组件-1/RR-HA-60-80-Brake-上交版-1,坐标系2,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
leftfront,0.0796419142918207,-1.95549848725773E-05,-0.0426060611978254,0,0,0,0.798414527575896,0.000382633435194024,-1.72636640408826E-07,-4.57824406237476E-06,0.000744230661608469,-4.74958965953524E-07,0.000480300561467963,0,0,0,0,0,0,package://flying_robot_urdf/meshes/leftfront.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://flying_robot_urdf/meshes/leftfront.STL,,CLH52.01.00-1/电机组件-1/CLH52.01-12-1;CLH52.01.00-1/电机组件-1/CLH52.01-14-1;CLH52.01.00-1/电机组件-1/RR-HA-60-XXX-Brake-上交版2-2;CLH52.01.00-1/电机组件-1/RR-HA-60-XXX-Brake-上交版2-1;CLH52.01.00-1/电机组件-1/CLH52.01-11-3;CLH52.01.00-1/电机组件-1/CLH52.01-11-2,坐标系3,基准轴4,leftfront,continuous,0.19991,0.20003,-0.0004,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
bigleglf,0.129390501059899,0.0121167662196758,-0.0248173656521,0,0,0,0.272834380727128,5.84020775760563E-05,6.56865031416697E-06,1.19512015154443E-05,0.00113636455002395,-3.51662964131401E-06,0.00115026261971198,0,0,0,0,0,0,package://flying_robot_urdf/meshes/bigleglf.STL,0.498039215686275,0.670588235294118,1,1,0,0,0,0,0,0,package://flying_robot_urdf/meshes/bigleglf.STL,,CLH52.01.00-1/腿组件0-1/CLH52.01-05-1;CLH52.01.00-1/腿组件0-1/CLH52.01-09-1;CLH52.01.00-1/腿组件0-1/CLH52.01-03-1;CLH52.01.00-1/腿组件0-1/连杆组件00-1/CLH52.01-10-1;CLH52.01.00-1/腿组件0-1/CLH52.01-04-1,坐标系4,基准轴8,bigleglf,continuous,0.095008,-0.02502,-0.0421,1.5708,0.68715,0,leftfront,0,0,1,0,0,0,0,,,,,,,,
smallleglf,0.141825205707711,0.0184964056882044,5.98999932988065E-10,0,0,0,0.191699347309648,3.73472638523918E-05,-2.30315594537506E-05,5.49986327778361E-12,0.000541936612544305,5.54753263786826E-12,0.000561661834710346,0,0,0,0,0,0,package://flying_robot_urdf/meshes/smallleglf.STL,1,0.654901960784314,0.756862745098039,1,0,0,0,0,0,0,package://flying_robot_urdf/meshes/smallleglf.STL,,CLH52.01.00-1/腿组件0-1/CLH52.01-06-1;CLH52.01.00-1/腿组件0-1/腿杆组件-1/CLH52.01-08-1;CLH52.01.00-1/腿组件0-1/球铰组件-1/CLH52.01-17-1;CLH52.01.00-1/腿组件0-1/球铰组件-1/CLH52.01-19-1,坐标系5,基准轴9,smallleglf,continuous,0.35,0,-0.025,0,0,-1.4916,bigleglf,0,0,1,0,0,0,0,,,,,,,,
rightfront,0.0796421726505553,1.94546339800927E-05,-0.0426060611978287,0,0,0,0.798414527576588,0.000382633435194025,-1.72636640408504E-07,-4.57824406237422E-06,0.000744230661608464,-4.74958965952894E-07,0.000480300561467965,0,0,0,0,0,0,package://flying_robot_urdf/meshes/rightfront.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://flying_robot_urdf/meshes/rightfront.STL,,CLH52.01.00-6/电机组件-1/CLH52.01-14-1;CLH52.01.00-6/电机组件-1/CLH52.01-12-1;CLH52.01.00-6/电机组件-1/RR-HA-60-XXX-Brake-上交版2-2;CLH52.01.00-6/电机组件-1/RR-HA-60-XXX-Brake-上交版2-1;CLH52.01.00-6/电机组件-1/CLH52.01-11-3;CLH52.01.00-6/电机组件-1/CLH52.01-11-2,坐标系6,基准轴3,rightfront,continuous,0.19991,-0.20001,-0.0004,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
biglegrf,0.129390500850725,0.012116766176949,-0.02481736564337,0,0,0,0.272834381042562,5.84020775921114E-05,6.56865022173599E-06,1.19512015824109E-05,0.0011363645503615,-3.51662962193567E-06,0.00115026262003777,0,0,0,0,0,0,package://flying_robot_urdf/meshes/biglegrf.STL,0.498039215686275,0.670588235294118,1,1,0,0,0,0,0,0,package://flying_robot_urdf/meshes/biglegrf.STL,,CLH52.01.00-6/腿组件0-1/CLH52.01-05-1;CLH52.01.00-6/腿组件0-1/CLH52.01-03-1;CLH52.01.00-6/腿组件0-1/CLH52.01-09-1;CLH52.01.00-6/腿组件0-1/连杆组件00-1/CLH52.01-10-1;CLH52.01.00-6/腿组件0-1/CLH52.01-04-1,坐标系7,基准轴7,biglegrf,continuous,0.095008,-0.024981,-0.0421,1.5708,0.68715,0,rightfront,0,0,1,0,0,0,0,,,,,,,,
smalllegrf,0.141825202380367,0.0184964180115881,1.35155046876445E-08,0,0,0,0.191699347309648,3.73472638523918E-05,-2.30315594537508E-05,5.49986330352109E-12,0.000541936612544305,5.54753265638182E-12,0.000561661834710346,0,0,0,0,0,0,package://flying_robot_urdf/meshes/smalllegrf.STL,1,0.654901960784314,0.756862745098039,1,0,0,0,0,0,0,package://flying_robot_urdf/meshes/smalllegrf.STL,,CLH52.01.00-6/腿组件0-1/CLH52.01-06-1;CLH52.01.00-6/腿组件0-1/球铰组件-1/CLH52.01-17-1;CLH52.01.00-6/腿组件0-1/球铰组件-1/CLH52.01-19-1;CLH52.01.00-6/腿组件0-1/腿杆组件-1/CLH52.01-08-1,坐标系8,基准轴10,smalllegrf,continuous,0.35,0,-0.025,0,0,-1.4916,biglegrf,0,0,1,0,0,0,0,,,,,,,,
leftbehind,-0.0796421726505739,-1.94546338597723E-05,-0.0426060611978041,0,0,0,0.798414527576566,0.000382633435194025,-1.72636640408571E-07,4.57824406237387E-06,0.000744230661608469,4.74958965952203E-07,0.000480300561467964,0,0,0,0,0,0,package://flying_robot_urdf/meshes/leftbehind.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://flying_robot_urdf/meshes/leftbehind.STL,,CLH52.01.00-2/电机组件-1/CLH52.01-12-1;CLH52.01.00-2/电机组件-1/CLH52.01-14-1;CLH52.01.00-2/电机组件-1/CLH52.01-11-2;CLH52.01.00-2/电机组件-1/CLH52.01-11-3;CLH52.01.00-2/电机组件-1/RR-HA-60-XXX-Brake-上交版2-2;CLH52.01.00-2/电机组件-1/RR-HA-60-XXX-Brake-上交版2-1,坐标系9,基准轴1,leftbehind,continuous,-0.20007,0.20003,-0.0004,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
bigleglb,0.129390501073687,0.0121167665268781,-0.0248173656419603,0,0,0,0.272834381042562,5.84020775590164E-05,6.56864750623974E-06,1.19512015912714E-05,0.0011363645503946,-3.51662959182919E-06,0.00115026262003778,0,0,0,0,0,0,package://flying_robot_urdf/meshes/bigleglb.STL,0.498039215686275,0.670588235294118,1,1,0,0,0,0,0,0,package://flying_robot_urdf/meshes/bigleglb.STL,,CLH52.01.00-2/腿组件0-1/CLH52.01-05-1;CLH52.01.00-2/腿组件0-1/CLH52.01-03-1;CLH52.01.00-2/腿组件0-1/CLH52.01-09-1;CLH52.01.00-2/腿组件0-1/连杆组件00-1/CLH52.01-10-1;CLH52.01.00-2/腿组件0-1/CLH52.01-04-1,坐标系10,基准轴5,bigleglb,continuous,-0.095008,0.024981,-0.0421,1.5708,0.68715,3.1416,leftbehind,0,0,-1,0,0,0,0,,,,,,,,
smallleglb,0.141825204200351,0.0184964204010298,-5.10444286838663E-09,0,0,0,0.191699347309648,3.7347263950301E-05,-2.30315605262759E-05,5.49986320883689E-12,0.000541936612446396,5.54753267481388E-12,0.000561661834710346,0,0,0,0,0,0,package://flying_robot_urdf/meshes/smallleglb.STL,1,0.654901960784314,0.756862745098039,1,0,0,0,0,0,0,package://flying_robot_urdf/meshes/smallleglb.STL,,CLH52.01.00-2/腿组件0-1/CLH52.01-06-1;CLH52.01.00-2/腿组件0-1/腿杆组件-1/CLH52.01-08-1;CLH52.01.00-2/腿组件0-1/球铰组件-1/CLH52.01-17-1;CLH52.01.00-2/腿组件0-1/球铰组件-1/CLH52.01-19-1,坐标系11,基准轴12,smallleglb,continuous,0.35,0,-0.025,0,0,-1.4916,bigleglb,0,0,-1,0,0,0,0,,,,,,,,
